Name,lat,lon,Population
NDOUNE,15.69255787,-16.43353919,301
TOBY,15.6797593,-16.37798588,57
MERINA DAKHAR,15.63262038,-16.43242848,52
MBAYE MBAYE MAYORO,15.74583229,-16.37362998,59
GABANE OUOLOF,15.72823096,-16.47901474,540
BOUNDOU WOULA I,15.6636715,-16.57130734,301
GABANE PEULH I,15.73435548,-16.46801621,301
SANTHIOU DIAOBE,15.65139869,-16.51391187,93
MERINA NDIAYE PEULH,15.70205395,-16.38556684,22
DAO II,15.66518206,-16.54943234,245
NDIAYENE SANTHIE,15.7594304,-16.42252472,160
THIOWORE,15.73082135,-16.45315267,2031
THIAR SECK,15.70846583,-16.44924657,301
NDIAYENE PEULH II,15.74689057,-16.4286318,296
THIAR PEULH I,15.69706191,-16.44822372,301
NGUEREUNG PEULH I,15.65555907,-16.38613091,301
KEUR AMADOU MOUNA,15.74305185,-16.55002208,301
THIARENE SARR I,15.83286492,-16.45713738,105
THIAR NDIAYE II,15.70606804,-16.45021709,301
BAYAKH GAYE,15.66691619,-16.40351433,294
THISNOR,15.80643318,-16.49841598,39
NDIAYENE OUOLOF,15.75595455,-16.42486998,301
GABANE PEULH II,15.73795489,-16.47154168,233
NGONDAM,15.67842995,-16.47389997,89
SANTHIOU DIADJI,15.73793594,-16.37640429,301
MOUREL,15.77138105,-16.500165,402
KEUR NDARY,15.65011551,-16.51287562,35
DIOKOUL WADE,15.78685894,-16.45285176,106
DAROU GUEYE,15.63455754,-16.42874019,45
TARE,15.79040799,-16.52787457,788
SANTHIOU DABAYE,15.64861882,-16.50696333,17
DEUCK BOUREYE,15.80554718,-16.38474045,301
YEUGOUL MBOYO,15.71944431,-16.50280334,301
GOBAR,15.77894682,-16.53244025,343
KEUR MANDIOL,15.76418553,-16.44552458,204
GNANDOUL I,15.70021826,-16.37365854,301
NDIELEGNE,15.77916823,-16.50280328,181
KEUR MOR ARENE,15.70383009,-16.3808531,61
SAGUE SATHIEL,15.69156229,-16.57280528,722
BAITY GUEYE,15.70503344,-16.40809184,424
NDIOBENE,15.72423724,-16.39518627,233
NDIAGNE FALL,15.81528368,-16.48805283,50
AINOU MERINA,15.7069454,-16.5180719,301
KEUR NDIAYE,15.77360888,-16.46669078,301
WAKHALDIAM,15.75139176,-16.39306981,173
LEONA,15.72047128,-16.45979485,1088
MADAYANA MADE,15.79931166,-16.42978199,318
KOGNE KOGNE II,15.6453411,-16.48075931,40
MEDINE,15.68472623,-16.57502411,63
MAKA MOR MADICKE,15.75281055,-16.49947389,132
KEUR MALICK FALL,15.74722136,-16.54863378,102
SAME NDIAYE,15.67669001,-16.3858527,669
NDEMBA II,15.67964312,-16.40477914,176
KOGNE KOGNE I,15.64473883,-16.48517759,119
GATY TOYE II,15.78113542,-16.3876979,233
THIELEMANE,15.82239025,-16.41408647,36
MBAMBA,15.67500697,-16.51669285,13
MAKA TARE,15.79374125,-16.40789936,201
MERINA SANTHIE,15.63315166,-16.42428834,52
MBAYE MBAYE MAPATHE,15.67429956,-16.37153148,301
OUASSOUMASSAL,15.67265736,-16.58244949,173
POTOU II,15.727083,-16.5240731,110
NORAYNI,15.7188639,-16.51908591,47
BEUT LAMINE,15.66250798,-16.48613271,301
GATY TOYE I,15.77304124,-16.38946643,74
DALDIAM,15.662508,-16.46669094,52
GNAYAM,15.75450651,-16.54551107,368
BOUNDOU WOULA II,15.66575993,-16.57880137,301
SOUKOUNDOU,15.71647803,-16.49671196,301
NGUEREUNG OUOLOF,15.6477245,-16.39197664,301
NDIAYENE PEULH I,15.75404327,-16.43189186,198
DABAYE NDIAYE,15.64885327,-16.51537508,50
SYERE OUOLOF,15.66597313,-16.44663218,301
SAM SAM,15.71528429,-16.48335183,91
SAGUE DJIBY YAGUE,15.71780848,-16.56207469,198
DIAMAGUEUNE OUOLOF,15.70409535,-16.38452064,301
NGOUFAT II,15.7359338,-16.41978055,301
WEKHE,15.82508452,-16.47127567,99
NGOUFAT I,15.72991468,-16.41995721,301
DIAMAGUEUNE PEULH,15.75000205,-16.45835189,301
GALOU DAMEL,15.66825906,-16.58535751,301
THIAR SENE,15.70025341,-16.44852384,301
NDIEUMB FALL,15.71018029,-16.42431022,817
SAGUE SAYORO,15.72361441,-16.54308311,81
NDIALAKHAR SAMB,15.77378203,-16.42187862,127
NGUEREUNG PEULH I,15.65435248,-16.38785046,301
SYERE PEULH,15.67157188,-16.45062266,301
CHERIF,15.62217576,-16.40034754,50
SAGNE,15.66505184,-16.56296717,174
DAO I,15.67495234,-16.54442507,79
NDEMBA I,15.67669175,-16.40477858,79
POTOU I,15.72301804,-16.52404283,1151
NDADE,15.75139165,-16.44308129,248
NGNANDOUL II,15.69955695,-16.36777546,301
KEUR PATHE PEULH I,15.68472579,-16.48197279,88
MAKA NDIAYE,15.65473948,-16.40000493,96
BAYAKH PEULH,15.67016949,-16.41982434,364
RAYETTE BAMBA,15.68213466,-16.48860635,35
GABANE OUOLOF,15.73526328,-16.46860149,540
DALDAGOU,15.7386227,-16.51089405,199
KEUR GOUMBA FAYE,15.70823333,-16.56197192,301
KEUR KOURA,15.70392306,-16.53551466,538
